state,x,y
Jammu And Kashmir,-89.0, 200.0
Himachal Pradesh,-67.0, 160.0
Punjab,-99.0, 138.0
Uttarakhand,-49, 130.0
Haryana,-89, 109.0
Rajasthan,-136, 88.0
Uttar Pradesh,-22, 86.0
Delhi,-76, 103.0
Gujarat,-177, 13.0
Bihar,52, 51.0
Sikkim,95, 85.0
Assam,139, 65
Arunachal Pradesh,177, 97
Nagaland,182, 64
Tripura,142,23
Manipur,175,42
Mizoram,158,19
Meghalaya,133,51
West Bengal,89,8
Jharkhand,42,15
Chhattisgarh,-12,-17
Odisha,24,-42
Madhya Pradesh,-81,5
Maharashtra,-107,-53
Goa,-139,-121
Karnataka,-108,-130
Andhra Pradesh,-55,-105
Tamil Nadu,-75,-200
Kerala,-107,-196


